UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/28T00:00:27z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,47,1010.85,4.99,26248,0,461,0.88,1.79,2.96,0.88,1.79,2.96,7,7,395.74,107.89,12.54,3.35,1.86,1.12,1.00,1.41,3.20,1.00,1.41,3.20,6,6,320.95,92.92,12.19,3.58,2.68,1.14,88.46
2026/05/28T00:02:27z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,47,1010.83,4.99,26248,0,581,1.56,2.27,3.80,1.56,2.27,3.80,9,9,440.90,121.25,16.41,3.34,2.02,1.59,0.41,0.67,2.55,0.41,0.67,2.55,3,3,306.26,86.83,10.21,2.53,2.53,1.67,82.55
2026/05/28T00:04:27z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,19,47,1010.81,4.99,26248,0,701,1.05,1.95,2.93,1.05,1.95,2.93,8,8,386.28,106.83,14.69,3.38,1.60,0.74,0.98,1.54,2.18,0.98,1.54,2.18,6,6,324.64,93.55,11.25,2.50,1.09,0.75,90.42
2026/05/28T00:06:27z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,47,1010.77,4.99,26248,0,821,0.97,1.84,2.95,0.97,1.84,2.95,8,8,374.17,108.83,15.79,2.81,1.59,1.12,0.74,1.64,2.76,0.74,1.64,2.76,7,7,298.76,87.98,13.09,3.10,1.86,0.60,79.50
2026/05/28T00:08:27z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.78,4.99,26248,0,941,1.02,1.82,3.50,1.02,1.82,3.50,8,8,407.84,114.20,14.61,3.32,2.23,1.25,1.07,1.66,3.75,1.07,1.66,3.75,7,7,380.14,108.97,17.73,4.73,3.34,0.54,94.28
2026/05/28T00:10:27z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.76,4.99,26248,0,1061,1.25,2.21,4.25,1.25,2.21,4.25,9,9,429.95,120.54,17.61,4.91,3.11,1.14,1.21,1.84,3.31,1.21,1.84,3.31,8,8,373.60,109.09,14.21,3.16,2.53,0.74,79.57
2026/05/28T00:12:27z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.81,4.99,26248,0,1181,1.02,2.08,4.68,1.02,2.08,4.68,9,9,415.80,112.43,15.07,5.25,4.07,1.78,0.71,1.21,3.50,0.71,1.21,3.50,5,5,358.02,97.80,13.95,4.00,2.95,1.14,80.76
2026/05/28T00:14:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.75,nan,26336,0,101,0.72,1.80,3.35,0.72,1.80,3.35,8,8,389.15,109.22,15.67,3.20,2.17,1.65,1.05,1.98,3.28,1.05,1.98,3.28,8,8,401.02,120.14,20.09,3.07,1.91,0.65,nan
2026/05/28T00:16:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.78,4.99,26248,0,221,1.02,1.66,2.54,1.02,1.66,2.54,7,7,412.37,109.00,10.19,2.56,1.29,1.02,0.66,1.59,3.23,0.66,1.59,3.23,7,7,353.41,99.54,16.30,3.98,2.27,0.98,77.53
2026/05/28T00:18:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,47,1010.75,4.99,26248,0,341,1.16,1.71,3.09,1.16,1.71,3.09,7,7,399.00,109.17,13.17,2.71,2.00,1.22,0.98,1.32,3.58,0.98,1.32,3.58,5,5,316.50,88.75,12.93,4.12,2.92,1.62,80.81
2026/05/28T00:20:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,47,1010.70,4.99,26248,0,461,1.00,1.43,2.48,1.00,1.43,2.48,6,6,338.46,93.86,9.79,2.55,1.34,0.80,1.17,2.03,3.53,1.17,2.03,3.53,8,8,364.83,105.19,16.54,3.76,1.95,0.78,76.83
2026/05/28T00:22:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.62,4.99,26248,0,581,0.83,1.34,2.74,0.83,1.34,2.74,6,6,375.10,103.72,11.71,3.24,2.17,0.81,0.80,1.64,2.03,0.80,1.64,2.03,7,7,347.75,98.22,14.90,2.10,0.58,0.25,83.24
2026/05/28T00:24:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,47,1010.61,4.99,26248,0,701,0.92,1.47,2.47,0.92,1.47,2.47,6,6,347.65,97.17,12.60,2.35,1.47,0.55,0.84,1.14,3.16,0.84,1.14,3.16,5,5,314.41,88.05,13.32,3.59,2.79,1.77,84.07
2026/05/28T00:26:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,47,1010.67,4.99,26248,0,821,0.79,1.21,2.98,0.79,1.21,2.98,5,5,307.66,86.90,13.76,3.12,2.43,0.83,0.83,1.81,2.90,0.83,1.81,2.90,8,8,306.36,88.64,18.08,3.00,1.51,0.68,86.10
2026/05/28T00:28:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.63,4.99,26248,0,941,0.93,1.57,3.18,0.93,1.57,3.18,7,7,368.04,102.66,13.71,3.66,2.41,0.91,0.78,1.35,2.03,0.78,1.35,2.03,6,6,306.55,86.47,16.50,2.27,1.35,0.17,82.38
2026/05/28T00:30:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.61,4.99,26248,0,1061,0.47,1.48,2.59,0.47,1.48,2.59,6,6,379.81,108.52,15.78,3.43,1.74,0.66,1.05,2.03,3.93,1.05,2.03,3.93,8,8,394.66,115.98,21.14,3.36,2.72,0.76,81.41
2026/05/28T00:32:09z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,47,1010.61,4.99,26248,0,1181,1.53,2.30,3.45,1.53,2.30,3.45,10,10,423.85,118.48,15.58,3.05,1.83,0.70,0.96,1.54,2.44,0.96,1.54,2.44,6,6,355.47,91.25,12.04,2.67,1.32,0.67,80.88
2026/05/28T00:33:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,47,1010.55,nan,26336,0,100,1.00,1.49,2.16,1.00,1.49,2.16,6,6,367.20,99.82,9.44,2.42,1.18,0.36,1.09,1.95,3.63,1.09,1.95,3.63,8,8,368.65,106.53,16.19,3.58,2.70,1.12,nan
2026/05/28T00:35:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,47,1010.62,4.99,26248,0,220,0.75,1.27,2.39,0.75,1.27,2.39,5,5,353.44,95.80,12.53,2.36,1.88,0.76,1.25,1.71,2.82,1.25,1.71,2.82,7,7,364.39,107.50,12.21,2.27,1.50,0.88,77.82
2026/05/28T00:37:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,46,1010.47,4.99,26248,0,340,1.25,1.46,1.96,1.25,1.46,1.96,6,6,359.84,96.37,8.26,1.19,0.81,0.65,0.73,1.22,3.56,0.73,1.22,3.56,5,5,333.56,96.05,14.07,4.32,3.39,0.92,80.60
2026/05/28T00:39:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,46,1010.52,4.99,26248,0,460,1.02,1.73,3.25,1.02,1.73,3.25,7,7,374.14,104.07,15.43,3.96,2.54,0.91,1.20,1.52,3.67,1.20,1.52,3.67,6,6,381.00,110.42,13.70,3.38,3.05,1.17,81.74
2026/05/28T00:41:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,47,1010.49,4.99,26248,0,580,1.07,1.79,2.88,1.07,1.79,2.88,7,7,388.86,108.26,13.84,2.55,1.64,0.78,0.68,1.28,2.35,0.68,1.28,2.35,5,5,322.37,90.88,13.60,3.23,1.39,0.46,82.10
2026/05/28T00:43:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.49,4.99,26248,0,700,1.19,1.86,3.56,1.19,1.86,3.56,8,8,410.59,117.31,12.15,3.90,2.63,1.15,0.95,1.48,2.05,0.95,1.48,2.05,6,6,321.64,90.71,11.93,1.14,0.96,0.39,80.98
2026/05/28T00:45:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.40,4.99,26248,0,820,1.19,1.97,2.36,1.19,1.97,2.36,8,8,397.45,110.50,10.57,1.74,0.59,0.12,1.15,1.51,3.24,1.15,1.51,3.24,6,6,377.03,104.14,11.58,2.73,2.49,1.20,89.07
2026/05/28T00:47:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.38,4.99,26248,0,940,1.05,1.65,2.74,1.05,1.65,2.74,7,7,377.11,105.61,11.11,2.26,1.54,0.65,0.97,1.49,3.17,0.97,1.49,3.17,6,6,346.58,97.14,13.03,3.32,2.44,1.69,81.13
2026/05/28T00:49:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,47,1010.35,4.99,26248,0,1060,0.76,1.90,3.07,0.76,1.90,3.07,8,8,402.05,116.26,14.84,3.64,1.47,1.22,1.14,1.74,3.38,1.14,1.74,3.38,7,7,363.47,102.12,12.62,3.12,2.52,0.98,78.23
2026/05/28T00:51:49z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.37,4.99,26248,0,1180,0.98,1.72,3.59,0.98,1.72,3.59,7,7,396.26,109.09,14.64,3.66,2.97,1.36,1.14,1.50,3.02,1.14,1.50,3.02,6,6,356.20,99.38,11.38,2.38,2.09,1.02,77.85
2026/05/28T00:53:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.34,nan,26336,0,100,1.24,1.58,2.78,1.24,1.58,2.78,7,7,376.93,103.96,9.96,2.40,1.73,0.78,0.84,1.49,2.77,0.84,1.49,2.77,6,6,331.12,91.77,17.56,2.74,1.70,0.65,nan
2026/05/28T00:55:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,47,1010.36,4.99,26248,0,220,1.14,1.69,2.67,1.14,1.69,2.67,7,7,378.98,105.86,12.19,2.12,1.74,0.60,0.81,1.58,2.98,0.81,1.58,2.98,7,7,321.53,93.28,14.46,3.11,2.23,1.47,77.51
2026/05/28T00:57:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,19,47,1010.33,4.99,26248,0,340,0.58,1.47,2.25,0.58,1.47,2.25,6,6,394.53,105.56,14.19,2.16,1.25,0.44,0.87,1.38,2.65,0.87,1.38,2.65,6,6,310.25,88.82,11.88,2.85,1.82,0.58,79.80
2026/05/28T00:59:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,19,46,1010.33,4.99,26248,0,460,0.70,1.54,2.51,0.70,1.54,2.51,6,6,402.68,109.16,12.53,2.81,1.47,0.60,0.83,1.58,2.50,0.83,1.58,2.50,7,7,310.85,89.57,14.10,2.65,1.23,0.43,77.05
2026/05/28T01:01:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,19,47,1010.34,4.99,25936,0,580,1.19,1.72,4.05,1.19,1.72,4.05,7,7,396.21,111.93,13.69,3.47,3.22,2.34,0.70,1.60,3.07,0.70,1.60,3.07,7,7,345.05,99.95,15.95,3.70,2.47,0.40,82.66
2026/05/28T01:03:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.33,4.99,26248,0,700,0.69,1.20,2.66,0.69,1.20,2.66,5,5,364.42,103.86,13.03,2.68,2.14,0.42,1.00,1.57,2.36,1.00,1.57,2.36,7,7,321.05,90.61,12.39,2.61,1.23,0.20,79.26
2026/05/28T01:05:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,19,46,1010.35,4.99,26248,0,820,1.07,2.09,2.66,1.07,2.09,2.66,9,9,377.95,105.40,14.76,2.93,1.05,0.64,1.08,1.95,4.07,1.08,1.95,4.07,8,8,337.53,100.93,18.86,4.63,3.27,1.54,80.26
2026/05/28T01:07:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,20,46,1010.35,4.99,26248,0,940,1.24,1.84,4.17,1.24,1.84,4.17,8,8,402.57,112.41,14.10,5.14,3.21,1.45,0.73,1.47,3.42,0.73,1.47,3.42,6,6,343.90,97.82,17.15,3.78,2.72,1.48,81.78
2026/05/28T01:09:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,19,46,1010.29,4.99,26248,0,1060,1.03,1.93,3.71,1.03,1.93,3.71,8,8,370.97,107.34,18.29,4.34,2.84,0.84,0.88,1.39,3.44,0.88,1.39,3.44,6,6,327.95,90.56,13.56,3.88,3.32,0.72,78.07
2026/05/28T01:11:30z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,19,46,1010.24,4.99,26248,0,1180,0.72,1.72,3.52,0.72,1.72,3.52,7,7,376.40,108.83,13.47,4.47,2.80,1.78,0.48,1.00,2.43,0.48,1.00,2.43,4,4,310.77,90.39,17.27,3.09,2.05,1.07,83.74
2026/05/28T01:13:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.20,nan,26336,0,100,1.02,1.87,3.24,1.02,1.87,3.24,8,8,381.47,107.98,12.93,2.78,1.73,1.16,0.95,1.51,2.35,0.95,1.51,2.35,6,6,364.12,103.95,14.12,2.53,1.47,0.47,nan
2026/05/28T01:15:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.15,4.99,26248,0,220,1.20,2.08,3.62,1.20,2.08,3.62,9,9,421.65,120.75,15.72,2.90,2.38,1.00,0.73,1.32,2.38,0.73,1.32,2.38,6,6,339.00,96.27,12.21,2.32,1.64,0.38,72.24
2026/05/28T01:17:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,18,45,1010.08,4.99,26248,0,340,1.02,1.54,3.35,1.02,1.54,3.35,6,6,437.11,118.25,13.35,3.19,2.28,1.14,0.95,1.34,3.03,0.95,1.34,3.03,6,6,307.27,89.15,12.73,3.90,2.36,0.73,70.33
2026/05/28T01:19:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.10,4.99,26248,0,460,1.02,2.07,2.84,1.02,2.07,2.84,9,9,383.79,106.70,14.11,2.93,1.14,0.96,0.63,1.30,3.52,0.63,1.30,3.52,5,5,339.50,93.95,14.53,4.55,3.22,1.65,70.74
2026/05/28T01:21:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.07,4.99,26248,0,580,0.90,1.69,3.34,0.90,1.69,3.34,7,7,432.81,123.69,17.85,3.10,2.34,1.56,0.96,1.61,2.98,0.96,1.61,2.98,7,7,407.26,117.19,13.07,3.56,1.70,1.02,73.84
2026/05/28T01:23:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.03,4.99,26248,0,700,1.10,1.86,2.34,1.10,1.86,2.34,8,8,413.38,118.71,11.02,1.24,0.66,0.47,1.18,1.60,3.23,1.18,1.60,3.23,7,7,367.53,109.75,12.11,3.26,2.58,0.95,67.57
2026/05/28T01:25:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,19,46,1010.04,4.99,26248,0,820,1.09,1.71,3.48,1.09,1.71,3.48,7,7,391.34,106.55,10.86,3.48,2.38,1.47,0.80,1.41,2.61,0.80,1.41,2.61,6,6,310.37,92.98,11.02,2.34,1.86,0.25,67.75
2026/05/28T01:27:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,19,46,1010.07,4.99,26248,0,940,0.76,1.65,2.42,0.76,1.65,2.42,7,7,358.15,97.36,9.98,2.49,1.24,0.44,0.69,1.31,2.24,0.69,1.31,2.24,5,5,336.31,98.44,14.22,1.51,1.51,0.76,68.49
2026/05/28T01:29:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,19,46,1010.08,4.99,26248,0,1060,0.97,1.83,3.12,0.97,1.83,3.12,8,8,416.95,111.98,15.71,3.02,1.90,1.00,0.97,1.43,3.10,0.97,1.43,3.10,6,6,337.40,93.33,15.71,2.83,2.76,0.48,69.68
2026/05/28T01:31:10z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1010.07,4.99,26248,0,1180,0.75,1.63,2.51,0.75,1.63,2.51,7,7,380.75,106.27,13.00,2.80,1.31,1.07,0.95,1.41,2.80,0.95,1.41,2.80,6,6,333.38,95.27,12.68,3.25,2.09,0.45,70.98
2026/05/28T01:32:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,45,1010.07,nan,26336,0,100,1.16,2.07,3.07,1.16,2.07,3.07,9,9,412.47,113.16,12.78,2.93,1.78,0.56,0.95,1.26,2.60,0.95,1.26,2.60,5,5,315.70,90.00,10.79,2.49,1.79,1.19,nan
2026/05/28T01:34:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,21,45,1010.09,4.99,26248,0,220,1.39,2.12,3.05,1.39,2.12,3.05,9,9,416.85,117.19,14.58,2.61,1.49,0.63,0.59,1.27,2.11,0.59,1.27,2.11,5,5,336.21,98.00,13.62,1.84,1.16,0.54,71.41
2026/05/28T01:36:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,45,1010.09,4.99,26248,0,340,1.09,1.83,2.98,1.09,1.83,2.98,8,8,425.43,118.33,10.97,2.83,1.48,0.72,0.83,1.43,3.17,0.83,1.43,3.17,6,6,333.75,95.67,12.35,4.22,2.78,0.78,72.45
2026/05/28T01:38:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,21,45,1010.09,4.99,26248,0,460,1.21,1.61,2.89,1.21,1.61,2.89,7,7,364.66,104.05,12.70,2.39,1.75,1.21,0.95,1.56,3.02,0.95,1.56,3.02,6,6,322.02,92.29,16.27,2.90,2.20,1.07,72.25
2026/05/28T01:40:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,21,45,1010.08,4.99,26248,0,580,1.81,2.57,3.48,1.81,2.57,3.48,11,11,495.78,135.50,18.76,2.03,1.43,0.98,1.25,2.07,3.14,1.25,2.07,3.14,9,9,430.26,119.39,15.05,3.37,1.60,0.26,71.94
2026/05/28T01:42:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,46,1010.10,4.99,26248,0,700,0.98,1.65,2.82,0.98,1.65,2.82,7,7,394.40,107.00,13.25,2.23,1.85,0.85,0.79,1.30,3.04,0.79,1.30,3.04,5,5,299.09,86.43,12.32,3.18,2.23,1.68,76.05
2026/05/28T01:44:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,46,1010.06,4.99,26248,0,820,1.02,1.64,2.53,1.02,1.64,2.53,7,7,354.41,99.66,12.67,1.78,1.28,0.95,0.98,1.48,2.69,0.98,1.48,2.69,6,6,318.98,90.02,10.97,2.67,1.97,0.76,74.44
2026/05/28T01:46:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,46,1010.08,4.99,26248,0,940,1.09,1.73,2.55,1.09,1.73,2.55,7,7,366.21,101.89,14.18,2.86,1.34,0.62,0.69,1.12,1.50,0.69,1.12,1.50,5,5,302.79,88.90,9.52,0.76,0.53,0.29,77.61
2026/05/28T01:48:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,45,1010.07,4.99,26248,0,1060,1.00,1.53,3.07,1.00,1.53,3.07,6,6,358.09,97.60,14.12,3.33,2.22,0.93,0.78,1.19,3.00,0.78,1.19,3.00,5,5,332.48,96.00,16.05,2.97,2.79,0.74,78.68
2026/05/28T01:50:51z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,45,1010.07,4.99,26248,0,1180,1.00,1.51,2.92,1.00,1.51,2.92,6,6,359.29,100.92,13.88,2.81,2.31,0.97,0.84,1.38,2.61,0.84,1.38,2.61,6,6,331.18,96.59,12.71,2.12,1.66,1.21,78.06
2026/05/28T01:52:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,45,1010.08,nan,26336,0,100,0.96,1.93,3.40,0.96,1.93,3.40,8,8,418.27,112.22,15.69,4.42,2.16,1.53,1.07,1.93,2.95,1.07,1.93,2.95,8,8,380.23,109.49,14.35,2.09,1.49,0.56,nan
2026/05/28T01:54:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,45,1010.05,4.99,26248,0,220,0.77,1.45,3.18,0.77,1.45,3.18,6,6,377.25,99.70,14.13,3.90,2.55,1.48,0.71,1.20,3.12,0.71,1.20,3.12,5,5,319.82,94.23,16.36,3.54,3.07,1.09,73.63
2026/05/28T01:56:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,46,1010.02,4.99,26248,0,340,0.86,1.77,2.61,0.86,1.77,2.61,7,7,387.54,108.59,12.66,2.39,1.41,0.96,0.90,1.38,4.15,0.90,1.38,4.15,6,6,339.85,97.37,14.53,4.68,3.90,2.10,77.01
2026/05/28T01:58:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,46,1010.02,4.99,26248,0,460,1.25,1.84,2.89,1.25,1.84,2.89,8,8,397.84,109.49,13.51,2.77,1.51,0.82,0.81,1.54,1.98,0.81,1.54,1.98,6,6,341.19,95.10,13.54,1.64,0.85,0.00,79.11
2026/05/28T02:00:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,46,1010.02,4.99,26248,0,580,0.38,0.90,2.72,0.38,0.90,2.72,4,4,360.50,104.37,12.75,3.58,2.53,1.60,0.82,1.37,2.46,0.82,1.37,2.46,6,6,364.89,103.98,15.65,2.32,1.42,0.70,81.81
2026/05/28T02:02:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,45,1010.02,4.99,26248,0,700,0.85,1.31,2.22,0.85,1.31,2.22,5,5,401.85,108.14,13.36,1.51,1.24,0.73,0.88,1.66,2.91,0.88,1.66,2.91,7,7,374.52,107.36,13.41,2.79,1.57,0.93,77.92
2026/05/28T02:04:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,21,45,1010.04,4.99,26248,0,820,0.93,1.37,2.54,0.93,1.37,2.54,6,6,404.58,109.00,11.93,2.21,1.47,0.74,1.03,1.69,3.08,1.03,1.69,3.08,7,7,355.63,99.24,13.00,2.83,2.27,0.63,73.84
